,ds,TMAX_30avg,TMIN_30avg,TOBS_30avg,PDO,AMO,y,PRCP
47,1945-01-07,36.266666666666666,15.033333333333333,21.266666666666666,-0.19064516129032255,0.26161290322580644,61.0,0.93
48,1945-01-08,36.36666666666667,15.733333333333333,21.966666666666665,-0.17806451612903224,0.2611612903225807,62.5,0.29
49,1945-01-09,36.9,16.333333333333332,22.4,-0.16548387096774192,0.26070967741935486,62.5,0.0
50,1945-01-10,37.333333333333336,16.933333333333334,23.133333333333333,-0.1529032258064516,0.26025806451612904,62.5,0.0
51,1945-01-11,37.5,17.066666666666666,23.133333333333333,-0.1403225806451613,0.2598064516129032,62.5,0.0
52,1945-01-12,37.4,17.066666666666666,23.0,-0.12774193548387092,0.2593548387096774,62.5,0.0
53,1945-01-13,37.56666666666667,17.1,23.2,-0.1151612903225806,0.25890322580645164,62.6,0.0
54,1945-01-14,37.666666666666664,17.2,23.233333333333334,-0.10258064516129028,0.2584516129032258,62.6,0.0
55,1945-01-15,37.666666666666664,17.233333333333334,23.733333333333334,-0.09,0.258,62.6,0.0
56,1945-01-16,37.63333333333333,17.4,23.966666666666665,-0.09806451612903225,0.26087096774193547,69.6,1.25
57,1945-01-17,37.733333333333334,17.433333333333334,23.7,-0.10612903225806451,0.263741935483871,69.6,0.0
58,1945-01-18,37.7,17.133333333333333,23.366666666666667,-0.11419354838709678,0.26661290322580644,71.6,0.25
59,1945-01-19,37.36666666666667,16.366666666666667,22.533333333333335,-0.12225806451612903,0.26948387096774196,69.6,0.0
60,1945-01-20,37.5,15.9,22.333333333333332,-0.13032258064516128,0.2723548387096774,62.599999999999994,0.0
61,1945-01-21,37.3,15.433333333333334,21.6,-0.13838709677419353,0.27522580645161293,61.599999999999994,0.0
62,1945-01-22,37.1,14.866666666666667,21.3,-0.1464516129032258,0.2780967741935484,49.599999999999994,0.0
63,1945-01-23,37.266666666666666,14.733333333333333,21.2,-0.15451612903225806,0.2809677419354839,49.599999999999994,0.0
64,1945-01-24,37.6,14.966666666666667,21.433333333333334,-0.1625806451612903,0.28383870967741937,49.599999999999994,0.0
65,1945-01-25,37.5,15.066666666666666,21.6,-0.1706451612903226,0.2867096774193548,49.599999999999994,0.0
66,1945-01-26,37.56666666666667,15.233333333333333,21.8,-0.17870967741935484,0.28958064516129034,49.599999999999994,0.0
67,1945-01-27,37.3,14.9,21.5,-0.1867741935483871,0.29245161290322585,49.599999999999994,0.0
68,1945-01-28,36.7,14.6,21.3,-0.19483870967741934,0.2953225806451613,32.599999999999994,0.0
